input,output
"Do you have a Bajaj ATX 4 750-Watt Pop-up Toaster, 2-Slice Automatic Pop up Toaster with Dust Cover & Slide Out Crumb Tray, 6-Level Brow... for under 2250.0?","product name: Bajaj ATX 4 750-Watt Pop-up Toaster, 2-Slice Automatic Pop up Toaster with Dust Cover & Slide Out Crumb Tray, 6-Level Brow..., price: 2250.0"
Is there any NEW WARE 8 Meter Outlet Pipe Suitable for Fully and Semi Automatic Washing Machine available for less than 549.0?,"product name: NEW WARE 8 Meter Outlet Pipe Suitable for Fully and Semi Automatic Washing Machine, price: 549.0"
"I'm interested in buying a AIDEA Electric Kettle 2.0 Litre Design for Hot Water, Tea,Coffee,Milk, Rice and Other Multi PuRP Accessoriesose Cooking Fo.... It should be priced under 4999.0.","product name: AIDEA Electric Kettle 2.0 Litre Design for Hot Water, Tea,Coffee,Milk, Rice and Other Multi PuRP Accessoriesose Cooking Fo..., price: 4999.0"
"I would like to get a EMNDR® Water Softener for Hard Water,Water Purifier Non Electrical Tap Guard Water Purifier Faucet Tap Kitchen & Wash Basi.... The cost should not exceed 1199.0.","product name: EMNDR® Water Softener for Hard Water,Water Purifier Non Electrical Tap Guard Water Purifier Faucet Tap Kitchen & Wash Basi..., price: 1199.0"
Do you have a Combo pack of BRITA Marella XL Water Filter Jug 3.5L Grey and 6pc MAXTRA+Refill Cartridge| Powerful Filtration with MicroF... for under 5498.0?,"product name: Combo pack of BRITA Marella XL Water Filter Jug 3.5L Grey and 6pc MAXTRA+Refill Cartridge| Powerful Filtration with MicroF..., price: 5498.0"
I want to purchase a Harold Electricals 42 inchs Black Mamba Ceiling Fan Chandelier with Remote Control | Retractable Crystal Chandelier Fans L.... The price should be no more than 24999.0.,"product name: Harold Electricals 42 inchs Black Mamba Ceiling Fan Chandelier with Remote Control | Retractable Crystal Chandelier Fans L..., price: 24999.0"
"Do you have a DEVENTORZ Handheld Milk Frother, Coffer Frother Handheld, Drink Mixer Electric Whisk Milk Coffer Foam Maker Battery Powered for under 999.0?","product name: DEVENTORZ Handheld Milk Frother, Coffer Frother Handheld, Drink Mixer Electric Whisk Milk Coffer Foam Maker Battery Powered, price: 999.0"
"Is there any Prestige Aluminium Omega Deluxe Granite Fry Pan, 24 cm, Black (36305) available for less than 1010.0?","product name: Prestige Aluminium Omega Deluxe Granite Fry Pan, 24 cm, Black (36305), price: 1010.0"
"I need a Heaven Coil Winding Machine, 1/10 Motor Coil Winding Machine with Steel Gears,. It should cost less than 1999.0.","product name: Heaven Coil Winding Machine, 1/10 Motor Coil Winding Machine with Steel Gears,, price: 1999.0"
"I need a Riyavin Wall Fan 3 In 1 Fan ( Table Fan, Wall Fan , Ceiling Fan ) High Speed Mini Wall Cum Table Fan 3 Speed Copper Motor .... It should cost less than 1699.0.","product name: Riyavin Wall Fan 3 In 1 Fan ( Table Fan, Wall Fan , Ceiling Fan ) High Speed Mini Wall Cum Table Fan 3 Speed Copper Motor ..., price: 1699.0"
I wish to buy a Trishays Shop4All 2000 Watt G Coil Hot Plate Heating Element Heater Room Heater Induction Cook Top Electric Cooking Heater.... My price limit is 699.0.,"product name: Trishays Shop4All 2000 Watt G Coil Hot Plate Heating Element Heater Room Heater Induction Cook Top Electric Cooking Heater..., price: 699.0"
"Please help me find a AmazonBasics High Speed 55 Watt Oscillating Pedestal Fan, 400mm Sweep Length, White (Without Remote) that costs below 3300.0.","product name: AmazonBasics High Speed 55 Watt Oscillating Pedestal Fan, 400mm Sweep Length, White (Without Remote), price: 3300.0"
Can you find me a HOTLITE ALUMINIUM NON-STICK JUMBO STOVE WAFFLE MAKER for a price below 1125.0?,"product name: HOTLITE ALUMINIUM NON-STICK JUMBO STOVE WAFFLE MAKER, price: 1125.0"
"I want to purchase a Spiry Fi Engineers Aqua 1 Micron Water Filter Bag For 4"" Dia & 20"" Length Bag -1 Pcs. The price should be no more than 999.0.","product name: Spiry Fi Engineers Aqua 1 Micron Water Filter Bag For 4"" Dia & 20"" Length Bag -1 Pcs, price: 999.0"
I'm looking to buy a Inalsa Super Jumbo Max-grill 2000-Watt Sandwich Maker/Contact Grill with Temperature Controller and LED indicator | Non-st.... My budget is under 4595.0.,"product name: Inalsa Super Jumbo Max-grill 2000-Watt Sandwich Maker/Contact Grill with Temperature Controller and LED indicator | Non-st..., price: 4595.0"
Do you have a Vidiem Air Pride 3B 161 A Cooktop (Black/Orange) for under 8842.0?,"product name: Vidiem Air Pride 3B 161 A Cooktop (Black/Orange), price: 8842.0"
"I'm interested in buying a Garden space Plastic Water Spray Nozzle Trigger for Bottle, 10 cm (Blue)-Set of 3. It should be priced under 299.0.","product name: Garden space Plastic Water Spray Nozzle Trigger for Bottle, 10 cm (Blue)-Set of 3, price: 299.0"
I want to purchase a doctorspare Round Plastic Knob for LG Semi Automatic Washing Machine (White) - 4 Pieces Set. The price should be no more than 280.0.,"product name: doctorspare Round Plastic Knob for LG Semi Automatic Washing Machine (White) - 4 Pieces Set, price: 280.0"
"I wish to buy a Buildskill Basics BIT053 Inverter Trolley, with Premium Plastic Body, Robust 360 Degree Rotating Wheels, Easy Assembly, Su.... My price limit is 2909.0.","product name: Buildskill Basics BIT053 Inverter Trolley, with Premium Plastic Body, Robust 360 Degree Rotating Wheels, Easy Assembly, Su..., price: 2909.0"
"I'm interested in buying a Panasonic Anchor Anmol Fresh Air 230Mm Exhaust Fan |Exhaust Fan for Home, Office, Kitchen and Bathroom (Grey). It should be priced under 2400.0.","product name: Panasonic Anchor Anmol Fresh Air 230Mm Exhaust Fan |Exhaust Fan for Home, Office, Kitchen and Bathroom (Grey), price: 2400.0"
Can you find me a Kobbey Deep Fryer Machine Electric 12 Ltr Double Tank 6+6 Ltr with Copper Heater 5 Year Warranty for a price below 14500.0?,"product name: Kobbey Deep Fryer Machine Electric 12 Ltr Double Tank 6+6 Ltr with Copper Heater 5 Year Warranty, price: 14500.0"
"I would like to get a Samsung 236 L 2 Star Digital Inverter Frost Free Double Door Refrigerator (RT28C3452CU/HL, Blue, Camellia Blue). The cost should not exceed 33990.0.","product name: Samsung 236 L 2 Star Digital Inverter Frost Free Double Door Refrigerator (RT28C3452CU/HL, Blue, Camellia Blue), price: 33990.0"
"I want to purchase a Hario V60 Plastic Coffee Dripper, Size 2, Red. The price should be no more than 550.0.","product name: Hario V60 Plastic Coffee Dripper, Size 2, Red, price: 550.0"
"I'm looking to buy a IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Steam (NEO DIVA VXS 6010, White, In-built Heater, 4 years Comprehensiv.... My budget is under 30390.0.","product name: IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Steam (NEO DIVA VXS 6010, White, In-built Heater, 4 years Comprehensiv..., price: 30390.0"
"I need a G.Fidel Portable Electric Mini Juice Maker | Blender Grinder Mixer USB Rechargeable Mini Juicer Blender for Smoothies, Jui.... It should cost less than 1299.0.","product name: G.Fidel Portable Electric Mini Juice Maker | Blender Grinder Mixer USB Rechargeable Mini Juicer Blender for Smoothies, Jui..., price: 1299.0"
"I wish to buy a Divinext Stainless Steel Espresso Coffee Maker/Percolator Coffee Moka Pot Maker,8.07 x 4.92 x 3.94 in,Silver. My price limit is 1199.0.","product name: Divinext Stainless Steel Espresso Coffee Maker/Percolator Coffee Moka Pot Maker,8.07 x 4.92 x 3.94 in,Silver, price: 1199.0"
